Rank,Major,Degree Type,Early Career Pay,Mid-Career Median Salary,High Meaning
424,Music Technology,Bachelors,50900.0,92900.0,38%
428,Administration of Justice,Bachelors,51300.0,92800.0,53%
428,Publishing,Bachelors,52000.0,92800.0,40%
428,Urban Studies,Bachelors,57700.0,92800.0,60%
431,Media Studies,Bachelors,57000.0,92700.0,38%
432,Apparel & Textile Manufacture,Bachelors,54200.0,92600.0,31%
432,Philosophy & Religion,Bachelors,51300.0,92600.0,54%
434,Environmental Geography,Bachelors,55900.0,92500.0,54%
435,Communication Studies & Journalism,Bachelors,51200.0,92300.0,46%
435,Interpersonal Communications,Bachelors,50200.0,92300.0,48%
435,Logistics Management,Bachelors,66000.0,92300.0,38%
435,Retail & Consumer Science,Bachelors,58800.0,92300.0,27%
435,Web Design & Development,Bachelors,60100.0,92300.0,44%
440,Accounting & Business,Bachelors,58700.0,92200.0,49%
440,Architectural Technology,Bachelors,55700.0,92200.0,62%
440,Geographic Information Systems (GIS),Bachelors,56100.0,92200.0,53%
443,Environmental Studies,Bachelors,55000.0,92100.0,59%
443,Interactive Media,Bachelors,61300.0,92100.0,39%
445,Retail Merchandising,Bachelors,59000.0,91900.0,36%
446,Diagnostic Medical Sonography,Bachelors,71700.0,91800.0,86%
447,Agricultural Business,Bachelors,61400.0,91600.0,58%
447,Network Administration,Bachelors,54400.0,91600.0,54%
449,Environmental Biology,Bachelors,50500.0,91300.0,69%
449,Dental Hygiene,Bachelors,81200.0,91300.0,81%
451,Journalism & Electronic Media,Bachelors,51400.0,91200.0,46%
451,Web & Digital Media Development,Bachelors,60400.0,91200.0,35%
451,Workforce Education & Development,Bachelors,67100.0,91200.0,73%
454,Diagnostic Medical Ultrasound,Bachelors,73800.0,91100.0,71%
454,Health Policy & Administration,Bachelors,57300.0,91100.0,63%
456,Quality Management,Bachelors,66000.0,90800.0,62%
457,Bachelor of Science in Nursing,Bachelors,72000.0,90700.0,85%
457,Speech Communication,Bachelors,53300.0,90700.0,56%
459,Retailing,Bachelors,56700.0,90500.0,33%
459,Visual Effects & Motion Graphics,Bachelors,54100.0,90500.0,38%
461,Foreign Languages,Bachelors,55600.0,90300.0,54%
462,Landscape Architecture,Bachelors,58700.0,90200.0,65%
463,Global Studies,Bachelors,58100.0,90100.0,47%
464,American Sign Language Interpreting,Bachelors,49400.0,89900.0,87%
464,Spanish Language Teacher Education,Bachelors,55100.0,89900.0,-
466,Technical & Scientific Communication,Bachelors,57000.0,89800.0,35%
467,Broadcast & Cinematic Arts,Bachelors,48000.0,89700.0,41%
